sign 	 ID 	 mC1 	 mN1 	 xsec 	 filtEff 	 xsec_relUnc 
C1pN2	398278	250p0	200p0	0.0000169226500	   0.432700000	0.0534650900000
C1mN2	394933	125p0	35p0	0.0001237581000	   0.421700000	0.0622370000000
C1pN2	394972	250p0	170p0	0.0000169226500	   0.455660000	0.0534650000000
C1pN2	398274	200p0	150p0	0.0000382862300	   0.413790000	0.0468530100000
C1pN2	394934	140p0	50p0	0.0001367283000	   0.405590000	0.0372960000000
C1mN2	394943	300p0	290p0	0.0000041427290	   0.171190000	0.0854570000000
C1pN2	394920	125p0	45p0	0.0002045473000	   0.388150000	0.0355890000000
C1mN2	394110	150p0	140p0	0.0000623907200	   0.163840000	0.0661720000000
C1mN2	394941	250p0	240p0	0.0000086780830	   0.170990000	0.0796450000000
C1pN2	394924	150p0	70p0	0.0001071069000	   0.407070000	0.0388460000000
C1pN2	394976	350p0	270p0	0.0000046825100	   0.479310000	0.0656570000000
C1mN2	398279	250p0	200p0	0.0000086780830	   0.445510000	0.0796452500000
C1pN2	394922	140p0	60p0	0.0001367283000	   0.403210000	0.0372960000000
C1pN2	394966	300p0	240p0	0.0000085165960	   0.456180000	0.0597430000000
C1pN2	394918	110p0	30p0	0.0003229436000	   0.377140000	0.0348160000000
C1pN2	394105	100p0	80p0	0.0004545921000	   0.272740000	0.0349460000000
C1mN2	394915	200p0	130p0	0.0000208446700	   0.450030000	0.0729930000000
C1pN2	394085	110p0	70p0	0.0003229436000	   0.348060000	0.0348160000000
C1mN2	394927	200p0	120p0	0.0000208446700	   0.453830000	0.0729930000000
C1pN2	394083	110p0	85p0	0.0003229436000	   0.307700000	0.0348160000000
C1mN2	394112	150p0	130p0	0.0000623907200	   0.318250000	0.0661720000000
C1mN2	394907	110p0	40p0	0.0002002429000	   0.402140000	0.0602180000000
C1mN2	394088	125p0	115p0	0.0001237581000	   0.159310000	0.0622370000000
C1pN2	394904	100p0	30p0	0.0004545921000	   0.366750000	0.0349460000000
C1mN2	398277	250p0	220p0	0.0000086780830	   0.405340000	0.0796452500000
C1pN2	394906	110p0	40p0	0.0003229436000	   0.371920000	0.0348160000000
C1mN2	394092	125p0	100p0	0.0001237581000	   0.340400000	0.0622370000000
C1pN2	394107	100p0	60p0	0.0004545921000	   0.338300000	0.0349460000000
C1pN2	394111	150p0	130p0	0.0001071069000	   0.304270000	0.0388460000000
C1pN2	394968	350p0	290p0	0.0000046825100	   0.466070000	0.0656570000000
C1pN2	394980	200p0	190p0	0.0000382862300	   0.166170000	0.0468530000000
C1mN2	394893	100p0	40p0	0.0002867911000	   0.389680000	0.0590480000000
C1pN2	394900	150p0	90p0	0.0001071069000	   0.398100000	0.0388460000000
C1pN2	394109	150p0	140p0	0.0001071069000	   0.160770000	0.0388460000000
C1pN2	394960	350p0	310p0	0.0000046825100	   0.440230000	0.0656570000000
C1mN2	394919	110p0	30p0	0.0002002429000	   0.405630000	0.0602180000000
C1pN2	398280	250p0	160p0	0.0000169226500	   0.460310000	0.0534650900000
C1pN2	394898	140p0	80p0	0.0001367283000	   0.391200000	0.0372960000000
C1pN2	394944	350p0	340p0	0.0000046825100	   0.173840000	0.0656570000000
C1mN2	394080	110p0	100p0	0.0002002429000	   0.154060000	0.0602180000000
